Sample	Total Reads	NoDup Reads	
output/DNA_220525_20-22hmix_centri_BIOMcombi_S9	8454561	6027875 (0.7129731514149582%)	
output/DNA_220525_22-24hmix_centri_BIOMcombi_S10	10140709	7525713 (0.7421288787598579%)	
output/DNA_220602_20-22hmix_centri_BIOMcombi_S11	7183021	5424214 (0.7551438315438588%)	
output/DNA_220602_20-22hmix_cer_BIOMcombi_S13	17767019	13310963 (0.7491950675574782%)	
output/DNA_220602_22-24hmix_centri_BIOMcombi_S12	6272223	4746539 (0.7567554597468872%)	
output/DNA_220602_22-24hmix_cer_BIOMcombi_S14	8619105	6504980 (0.7547164119708485%)	
output/DNA_220607_20-22hmix_centri_BIOMcombi_S17	9319006	6900090 (0.7404319731095784%)	
output/DNA_220607_20-22hmix_cer_BIOMcombi_S15	4497456	3449497 (0.7669884930502934%)	
output/DNA_220607_22-24hmix_centri_BIOMcombi_S18	12448531	9292540 (0.7464768332906108%)	
output/DNA_220607_22-24hmix_cer_BIOMcombi_S16	7041925	5380059 (0.7640040187874765%)	
output/DNA_220616_20-22hmix_cer_BIOMcombi_S19	11311548	8495033 (0.7510053442729501%)	
output/DNA_220616_22-24hmix_cer_BIOMcombi_S20	8684758	6534214 (0.7523772107409326%)	
output/DNA_220623_24hmix_cer_BIOMcombi_S21	12277989	9040425 (0.7363115409209114%)	
output/DNA_220623_24hmix_cer_BIOMminiprep_S22	9901088	7337000 (0.7410296726985963%)	
output/DNA_220629_20-22hmix_cer_BIOMcombi_S25	18663525	13910505 (0.7453310668804527%)	
output/DNA_220629_20-22hmix_cer_BIOMminiprep_S23	7948111	5893308 (0.7414727851687023%)	
output/DNA_220629_22-24hmix_cer_BIOMcombi_S26	38396426	28444879 (0.7408210076635778%)	
output/DNA_220629_22-24hmix_cer_BIOMminiprep_S24	7467268	5560112 (0.7445978904198965%)	
output/DNA_220707_20-22hmix_cer_BIOMminiprep_S27	16622694	12493415 (0.7515878593445804%)	
output/DNA_220707_20-22mix_cer_BIOMcombi_S29	9548567	7167503 (0.7506365091222589%)	
output/DNA_220707_22-24hmix_cer_BIOMcombi_S30	18123376	13607088 (0.7508031616184534%)	
output/DNA_220707_22-24hmix_cer_BIOMminiprep_S28	20207406	15215809 (0.7529818028103161%)	
output/DNA_220719_20-22mix_cer_BIOMcombi_S31	4100742	3185644 (0.7768457513298813%)	
output/DNA_220719_22-24hmix_cer_BIOMcombi_S32	3730029	2928471 (0.7851067645854765%)	
