TaxID;output.DNA_220525_20.22hmix_centri_BIOMcombi_S9_kaiju.out;output.DNA_220525_22.24hmix_centri_BIOMcombi_S10_kaiju.out;output.DNA_220602_20.22hmix_centri_BIOMcombi_S11_kaiju.out;output.DNA_220602_20.22hmix_cer_BIOMcombi_S13_kaiju.out;output.DNA_220602_22.24hmix_centri_BIOMcombi_S12_kaiju.out;output.DNA_220602_22.24hmix_cer_BIOMcombi_S14_kaiju.out;output.DNA_220607_20.22hmix_centri_BIOMcombi_S17_kaiju.out;output.DNA_220607_20.22hmix_cer_BIOMcombi_S15_kaiju.out;output.DNA_220607_22.24hmix_centri_BIOMcombi_S18_kaiju.out;output.DNA_220607_22.24hmix_cer_BIOMcombi_S16_kaiju.out;output.DNA_220616_20.22hmix_cer_BIOMcombi_S19_kaiju.out;output.DNA_220616_22.24hmix_cer_BIOMcombi_S20_kaiju.out;output.DNA_220623_24hmix_cer_BIOMcombi_S21_kaiju.out;output.DNA_220623_24hmix_cer_BIOMminiprep_S22_kaiju.out;output.DNA_220629_20.22hmix_cer_BIOMcombi_S25_kaiju.out;output.DNA_220629_20.22hmix_cer_BIOMminiprep_S23_kaiju.out;output.DNA_220629_22.24hmix_cer_BIOMcombi_S26_kaiju.out;output.DNA_220629_22.24hmix_cer_BIOMminiprep_S24_kaiju.out;output.DNA_220707_20.22hmix_cer_BIOMminiprep_S27_kaiju.out;output.DNA_220707_20.22mix_cer_BIOMcombi_S29_kaiju.out;output.DNA_220707_22.24hmix_cer_BIOMcombi_S30_kaiju.out;output.DNA_220707_22.24hmix_cer_BIOMminiprep_S28_kaiju.out;output.DNA_220719_20.22mix_cer_BIOMcombi_S31_kaiju.out;output.DNA_220719_22.24hmix_cer_BIOMcombi_S32_kaiju.out
0;5098155;6404831;4373072;11213538;3710363;5592489;5833992;2905607;7807684;4560168;7324158;5651419;7990561;6364187;12008365;5108857;24633478;4798262;10343130;5687847;10725780;12616699;2737196;2505039
1;48966;71679;54984;156089;49334;66012;77449;42123;108971;62126;90616;72475;72152;74503;108542;55795;246918;57434;192077;113719;193645;200387;30118;30356
2;10212;12222;8207;11462;7214;6052;7267;4750;11248;7484;9526;6877;7381;6994;12119;6124;25314;6309;13999;10125;19974;17149;3096;3003
6;1;3;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;15;35;22;30;15;15;14;23;31;43;26;27;21;17;23;11;44;12;15;12;38;39;12;7
9;7;12;2;22;7;18;9;11;20;20;26;20;30;24;14;6;41;10;30;11;47;59;5;2
10;1;10;3;5;2;3;3;3;1;6;18;1;2;2;11;7;13;3;5;8;32;23;24;2
11;9;2;2;NA;NA;NA;NA;NA;NA;2;1;NA;NA;NA;NA;NA;2;NA;1;1;1;1;NA;NA
14;2;10;4;12;1;7;5;4;2;2;17;18;21;22;21;17;39;24;58;17;35;60;4;3
19;6;3;2;4;1;3;NA;NA;2;4;1;1;2;4;3;4;17;3;6;3;2;6;NA;NA
20;13;3;4;NA;1;NA;1;NA;1;NA;1;NA;3;2;1;1;2;NA;2;3;1;2;2;1
21;12;6;NA;2;2;NA;2;1;5;5;1;NA;3;4;NA;4;4;5;NA;1;1;2;NA;1
22;138;162;76;132;69;60;103;78;173;120;198;119;134;155;208;177;472;149;270;129;426;441;49;30
23;1;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;2;NA;NA;NA
