TaxID;output/DNA_220525_22-24hmix_centri_BIOMcombi_S10_kaiju.out
0;6404831
1;71679
2;12222
6;3
7;35
9;12
10;10
11;2
14;10
16;4
19;3
20;3
21;6
22;162
23;2
24;3
25;2
29;1
31;5
32;8
34;2
41;1
43;1
48;18
50;3
51;6
52;2
53;2
55;1
56;12
59;199
61;33
63;6
64;10
68;10
69;20
72;13
75;7
81;3
82;18
84;9
94;2
99;2
100;17
102;7
103;4
104;11
105;3
106;4
107;6
113;5
114;11
119;1
124;1
125;3
126;1
128;4
133;1
134;2
136;5
137;3
138;2
144;3
148;1
150;3
156;21
157;22
158;45
162;16
163;5
164;7
165;1
166;70
167;8
171;35
172;3
173;2
174;1
178;3
179;1
180;3
183;1
188;3
189;5
190;5
191;90
192;24
194;65
195;49
196;39
197;131
198;12
199;31
200;17
201;6
202;7
203;1
204;5
206;3
209;24
210;22
213;1
215;5
217;2
222;218
226;11
232;15
234;69
235;6
237;760
238;82
239;175
244;9
245;11
247;6
249;1
250;17
253;82
254;48
256;34
258;16
259;2
262;24
265;332
266;139
270;6
271;1
274;6
276;3
277;7
279;8
280;3
281;1
283;752
285;186
286;2211
287;861
292;35
293;37
294;147
296;17
297;9
298;3
300;137
301;187
303;247
304;1
305;102
306;35
316;456
317;45
319;2
321;4
323;2
329;61
337;27
338;84
339;30
343;18
346;15
347;14
349;29
350;218
352;28
353;60
354;24
356;461
357;32
358;188
359;51
373;71
374;158
375;40
376;1
379;114
380;45
381;18
382;221
384;133
387;1
391;78
396;3
399;46
403;12
405;17
407;34
408;24
409;14
410;7
413;1
414;7
415;10
416;9
418;6
421;2
425;9
428;1
429;5
433;48
434;145
435;2
436;3
437;2
438;3
441;12
442;8
444;3
445;5
446;34
447;1
451;9
453;1
454;2
459;4
466;27
468;361
469;19586
470;2235
471;77
472;304
475;138
476;22
477;27
478;62
479;5
480;160
481;74
482;213
483;6
484;2
485;5
486;17
487;53
488;6
490;2
492;6
494;12
495;2
497;170
498;10
500;1
502;5
504;5
505;2
506;158
507;34
511;186
517;63
518;71
519;146
521;45
522;5
523;2
525;5
529;147
531;6
533;1
535;100
536;27
537;5
538;29
539;39
542;1
543;2004
544;138
545;41
546;171
547;113
548;52
549;42
550;99
551;1
552;62
553;24
554;23
555;6
556;2
561;53
562;2269
564;31
565;5
566;6
568;2
569;35
570;395
571;38
573;694
575;10
577;10
579;6
580;6
581;12
582;48
583;36
584;121
585;9
586;63
587;41
588;4
590;8
595;2
600;1
613;135
614;25
615;86
620;3
621;2
623;3
624;9
626;41
628;1
629;428
630;74
631;46
632;21
633;31
634;3
635;4
636;41
637;4
638;11
641;21
642;8379
644;748
645;315
646;157
647;10
648;1442
649;12
650;136
651;413
652;13
654;1538
656;100
657;23
659;11
662;138
663;74
666;65
668;5
669;15
670;83
672;14
673;3
674;1
675;2
676;4
680;1
685;3
687;10
689;11
691;5
702;5
703;39
712;118
713;3
714;15
715;13
720;1
722;10
723;1
724;19
726;11
727;20
728;62
729;16
730;5
731;40
733;1
735;5
738;40
745;13
747;36
750;69
751;1
753;1
756;2
757;14
758;19
761;44
766;3
773;34
780;2
782;1
809;18
810;2
813;426
815;1512
816;1877
817;222
818;262
820;159
