TaxID;output/DNA_220623_24hmix_cer_BIOMcombi_S21_kaiju.out
0;7990561
1;72152
2;7381
7;21
9;30
10;2
14;21
16;2
19;2
20;3
21;3
22;134
24;2
25;4
31;8
32;2
33;1
34;1
39;3
40;2
43;1
48;4
50;2
51;2
52;3
53;2
56;6
59;38
61;21
63;4
64;5
68;7
69;5
72;22
75;1
82;6
85;1
86;1
94;2
100;15
102;21
103;30
104;13
105;8
106;8
107;26
114;7
119;2
120;1
124;2
125;1
126;1
128;2
133;2
136;3
137;1
144;3
150;2
154;1
156;18
157;25
158;42
159;3
162;14
163;18
164;31
165;3
166;35
167;8
171;43
172;11
173;11
178;2
179;1
180;3
189;2
190;16
191;41
192;17
193;1
194;105
195;50
196;114
197;91
198;10
199;70
200;39
201;20
202;9
204;7
205;1
206;2
209;65
210;64
213;2
214;2
215;7
216;1
217;1
222;91
226;7
232;10
234;25
235;2
237;585
238;96
239;92
244;20
245;5
247;12
250;37
253;131
254;70
256;75
258;25
259;1
262;48
265;46
266;93
270;7
274;45
276;1
277;5
279;4
283;183
285;72
286;996
287;390
292;28
293;125
294;130
296;10
297;12
298;2
300;45
301;81
303;127
305;58
306;17
316;311
317;35
321;3
323;1
329;67
337;9
338;37
339;7
343;4
346;5
347;6
349;3
350;6
352;16
353;36
354;14
356;159
357;16
358;87
359;29
373;29
374;76
375;27
376;5
379;64
380;32
381;3
382;173
384;77
391;19
394;1
396;1
399;14
403;7
405;3
407;30
408;9
409;17
410;42
414;52
415;4
416;9
418;4
421;1
425;4
428;2
429;4
433;25
434;18
435;1
436;2
437;1
438;6
441;3
442;13
444;5
445;10
446;24
448;1
449;1
450;3
451;8
452;2
454;1
456;1
458;2
459;2
466;23
468;233
469;16043
470;2377
471;71
472;533
475;186
476;22
477;10
478;113
479;5
480;212
481;153
482;196
483;12
485;9
486;10
487;60
488;3
492;2
493;1
494;16
497;168
498;6
502;1
504;8
506;55
507;23
511;144
517;49
518;27
519;18
521;19
522;2
525;2
529;209
531;6
533;2
535;56
536;17
537;4
538;13
539;20
542;1
543;881
544;67
545;15
546;126
547;50
548;20
549;17
550;33
551;2
552;10
553;21
554;9
555;7
556;2
561;34
562;2001
564;25
565;1
566;1
568;2
569;20
570;267
571;25
573;447
575;1
577;6
579;4
580;8
581;5
582;29
583;31
584;11
585;5
586;72
587;30
588;4
590;10
597;2
613;56
614;9
615;51
623;2
624;3
626;22
628;13
629;217
630;23
631;21
632;8
633;13
634;4
635;8
636;65
637;5
638;10
641;21
642;1846
644;198
645;100
646;30
647;5
648;317
649;5
650;25
651;94
652;4
654;343
656;18
657;13
659;3
662;144
663;81
666;32
668;7
669;13
670;76
