TaxID;output/DNA_220623_24hmix_cer_BIOMminiprep_S22_kaiju.out
0;6364187
1;74503
2;6994
7;17
9;24
10;2
13;1
14;22
16;1
19;4
20;2
21;4
22;155
24;1
25;2
29;2
31;4
32;3
34;1
35;2
39;2
41;3
43;1
51;2
55;1
56;3
59;33
61;16
63;4
64;7
68;4
69;7
72;14
75;2
82;4
84;1
86;1
99;1
100;5
102;16
103;14
104;16
105;3
106;8
107;17
113;1
114;8
119;3
128;2
133;1
134;1
136;3
138;2
144;3
147;2
156;16
157;27
158;63
159;1
162;15
163;24
164;48
165;2
166;39
167;8
171;27
172;9
173;5
174;1
179;3
180;2
188;1
189;2
190;25
191;22
192;10
194;79
195;53
196;87
197;127
198;18
199;41
200;32
201;19
202;10
204;5
205;2
206;3
209;28
210;43
213;1
214;2
215;5
216;1
222;60
226;5
232;7
234;21
235;2
237;792
238;80
239;116
244;19
245;5
247;17
250;45
253;155
254;55
256;83
258;23
259;1
262;31
263;1
265;69
266;108
270;1
271;2
274;18
277;1
279;5
280;1
283;145
285;57
286;837
287;328
292;25
293;92
294;89
296;21
297;7
298;4
300;51
301;43
303;129
305;48
306;9
316;220
317;34
323;1
329;38
337;6
338;25
339;10
343;7
346;2
347;3
349;4
350;14
352;8
353;27
354;13
356;136
357;8
358;75
359;40
373;13
374;78
375;19
376;2
379;42
380;14
381;8
382;104
384;64
391;26
394;1
399;21
403;1
404;1
407;19
408;6
409;17
410;10
413;1
414;21
415;6
416;6
418;2
421;2
425;4
429;4
433;29
434;15
436;1
437;1
438;4
441;6
442;11
444;9
445;5
446;15
449;2
451;11
452;1
458;1
466;81
468;349
469;27378
470;2385
471;66
472;459
475;213
476;44
477;19
478;117
479;3
480;187
481;62
482;183
483;5
485;7
486;12
487;36
490;2
492;4
494;11
496;2
497;170
498;7
502;1
504;4
506;43
507;15
511;67
517;20
518;11
519;20
521;17
522;1
523;1
525;1
529;141
531;3
533;3
535;62
536;26
537;1
538;11
539;22
542;1
543;995
544;66
545;47
546;140
547;56
548;24
549;17
550;37
551;1
552;10
553;17
554;10
555;6
561;27
562;1454
563;1
564;34
565;17
566;4
568;2
569;33
570;236
571;14
573;424
575;1
577;3
579;2
580;7
582;21
583;54
584;22
585;3
586;71
587;31
588;7
590;19
595;1
611;3
613;56
614;14
615;42
623;1
624;11
626;37
628;4
629;215
630;18
631;27
632;10
633;11
634;2
635;3
636;48
637;7
638;10
641;28
642;1579
644;181
645;92
646;44
647;1
648;329
649;3
650;23
651;68
652;3
654;338
656;23
657;11
659;8
662;145
663;170
666;41
668;7
669;21
670;49
672;14
673;1
674;3
675;2
676;6
680;1
685;4
687;5
688;1
691;3
693;1
702;2
703;20
712;102
713;15
714;14
715;3
720;1
722;2
724;15
726;3
727;7
728;26
729;12
730;2
731;12
732;1
733;2
734;1
735;1
738;64
745;15
747;35
749;2
750;34
753;2
756;7
757;36
758;8
761;30
766;1
773;28
777;1
780;1
809;2
810;1
813;211
815;820
816;2006
817;463
818;272
820;130
821;235
823;1034
826;614
827;3
830;63
831;41
832;24
833;5
836;24
837;230
838;988
839;131
840;6
841;28
844;9
847;28
848;54
849;13
850;121
851;22
852;22
853;127
854;1
856;7
858;2
859;89
860;1
861;54
863;15
864;20
865;703
868;1
870;30
872;112
873;9
876;571
878;2
879;10
881;15
889;1
890;2
891;5
892;3
893;4
894;82
895;19
898;16
899;1
901;35
904;16
905;1
906;90
907;165
911;2
912;5
913;6
914;16
916;2
917;40
920;4
921;2
924;15
929;1
930;11
935;1
940;1
948;1
953;2
958;1
959;33
960;4
963;5
964;10
965;19
966;415
970;33
971;184
972;2
976;742
978;1
982;14
983;27
985;7
986;12
987;4
988;3
989;40
990;99
991;1
995;1
996;144
997;1
998;4
999;4
1002;5
1003;8
1004;13
1008;1
1010;15
1014;41
1015;99
1016;66
1017;2
1018;2
1019;3
1021;4
1022;2
1026;2
1027;6
1030;46
1031;21
1032;4
1034;3
1035;7
1041;1
1042;6
1046;12
1047;1
1048;1
1049;3
1052;1
1053;1
1054;7
1057;2
1058;1
1060;2
1061;15
1063;29
1064;1
1066;2
1067;3
1068;2
1069;2
1073;1
1074;23
1075;3
1076;4
1079;2
1082;3
1083;5
1084;2
1085;1
1088;1
1092;1
1094;7
1095;6
1100;1
1101;1
1117;33
1118;7
1122;1
1125;11
1126;9
1142;1
1150;28
1151;11
1153;1
1160;8
1161;33
1162;3
1163;3
1177;8
1178;1
1186;1
1198;1
1218;7
1219;10
1223;1
1224;3597
1227;4
1229;12
1231;20
1233;2
1234;17
1236;1704
1239;1827
1243;49
1244;14
1245;23
1246;47
1247;10
1249;7
1251;1
1252;9
1253;6
1254;3
1255;6
1258;1
1260;25
1261;18
1263;235
1264;169
1265;91
1267;2
1268;13
1269;1
1270;5
1273;3
1275;1
1279;444
1280;3434
