TaxID;output/DNA_220629_20-22hmix_cer_BIOMcombi_S25_kaiju.out
0;12008365
1;108542
2;12119
7;23
9;14
10;11
13;1
14;21
16;3
17;1
19;3
20;1
22;208
24;5
25;1
31;13
32;7
34;2
35;2
40;1
41;2
48;5
49;2
50;2
51;2
52;1
53;1
55;1
56;9
59;113
61;19
63;1
64;5
68;8
69;7
72;20
75;3
81;3
82;12
84;3
93;1
100;20
102;24
103;24
104;16
105;10
106;32
107;50
113;1
114;7
119;7
120;1
122;1
124;2
125;1
128;4
133;1
134;1
136;8
144;3
148;5
150;3
154;4
156;65
157;53
158;82
159;2
162;34
163;29
164;39
165;5
166;69
167;21
171;55
172;6
173;13
178;11
179;1
180;1
183;2
189;4
190;21
191;69
192;23
194;190
195;106
196;299
197;221
198;28
199;176
200;64
201;43
202;15
204;20
206;7
209;101
210;87
211;1
213;1
214;1
215;11
216;4
217;4
222;101
226;13
232;17
234;33
235;11
237;1553
238;171
239;393
244;32
245;11
246;1
247;17
249;2
250;46
253;236
254;112
256;146
258;31
259;1
262;19
263;3
265;41
266;107
270;6
274;55
277;4
279;1
281;1
283;341
285;96
286;1337
287;665
292;25
293;17
294;98
296;19
297;24
300;72
301;100
303;551
304;2
305;78
306;18
316;376
317;25
321;3
329;55
337;15
338;39
339;13
343;13
346;12
347;6
349;6
350;19
352;14
353;32
354;25
356;192
357;30
358;132
359;61
373;32
374;78
375;37
376;2
379;71
380;41
381;10
382;180
384;115
387;1
391;24
396;2
399;14
403;9
405;2
406;1
407;34
408;10
409;23
410;4
414;19
415;4
416;8
418;2
421;8
425;7
429;9
433;34
434;85
436;2
438;7
441;13
442;18
444;1
445;5
446;22
449;1
451;14
452;4
459;5
466;10
468;353
469;28734
470;3695
471;91
472;655
475;236
476;44
477;24
478;603
479;6
480;329
481;120
482;202
483;9
484;1
485;21
486;28
487;99
488;2
489;1
490;8
492;5
494;7
495;4
496;1
497;130
498;3
502;1
504;9
505;2
506;63
507;23
511;248
517;16
518;30
519;52
521;24
522;6
523;1
529;156
531;7
533;3
535;91
536;40
537;9
538;38
539;49
543;1164
544;73
545;32
546;192
547;113
548;37
549;16
550;89
551;1
552;21
553;24
554;27
555;4
561;59
562;1966
564;56
565;6
566;2
568;3
569;18
570;218
571;25
573;528
575;3
577;14
579;3
580;3
581;2
582;41
583;26
584;79
585;17
586;119
587;51
588;3
590;20
595;1
613;86
614;16
615;91
618;1
621;1
623;8
624;24
626;24
628;6
629;188
630;27
631;25
632;12
633;37
634;2
635;5
636;35
637;8
638;11
641;26
642;3212
644;377
645;128
646;130
647;7
648;545
649;16
650;44
651;137
652;7
654;771
656;45
657;22
659;6
661;2
662;172
663;95
666;42
668;4
669;15
670;70
672;15
673;1
674;5
675;2
676;12
680;2
685;7
687;12
688;1
689;7
691;10
702;8
703;24
712;176
713;12
714;11
715;15
717;1
722;4
723;1
724;33
726;9
727;17
728;68
729;19
730;6
731;38
733;7
734;2
735;10
738;46
739;3
745;21
747;110
749;1
750;56
753;3
756;10
757;36
758;32
761;44
766;2
773;36
774;1
777;3
780;1
809;12
810;5
813;913
815;1540
816;2812
817;617
818;421
820;194
821;431
823;1241
824;1
826;6369
827;8
830;94
831;95
832;21
833;9
836;53
837;222
838;2109
839;161
840;6
841;90
844;31
847;37
848;295
849;47
850;165
851;46
852;215
853;2655
854;12
856;44
858;7
859;200
860;8
861;528
863;34
864;44
865;1275
866;4
867;1
868;2
870;60
872;248
873;26
876;899
878;4
879;4
880;1
881;19
885;4
889;3
890;6
891;5
892;12
893;14
894;252
895;19
897;5
898;63
899;4
901;74
904;31
905;5
906;84
907;267
911;1
912;9
913;3
914;21
915;6
916;8
917;29
919;1
920;13
924;22
929;1
930;20
935;4
940;1
948;2
953;1
958;5
959;141
960;25
963;19
964;2
965;45
966;289
970;66
971;286
972;4
976;1791
978;4
982;13
983;33
985;20
986;13
988;3
989;40
990;181
991;7
995;9
996;239
997;2
998;22
999;9
1002;9
1003;9
1004;21
1006;3
1008;5
1010;13
1014;75
1015;204
1016;75
1017;1
1018;36
1019;15
1021;1
1022;5
1026;2
1027;14
1028;1
1030;32
1031;4
1032;4
1034;16
1035;6
1041;9
1042;1
1044;1
1046;37
1047;1
1048;4
1049;2
1050;5
1051;1
1052;2
1053;2
1054;8
1056;2
1057;7
1058;3
1060;1
1061;18
1063;107
1064;5
1066;10
1067;6
1068;2
1071;1
1073;4
1074;24
1075;1
1076;17
1079;2
1082;3
1083;8
1084;1
1085;1
1086;4
1088;3
1091;1
1092;4
1094;6
1095;10
1097;1
1098;3
1100;1
1101;4
1117;85
1118;6
1122;2
1124;1
1125;18
1126;25
1142;2
1150;58
1151;33
1152;2
1153;1
1160;16
1161;58
1162;3
1163;1
1177;13
1179;2
1182;1
1186;2
1190;1
1218;11
1219;23
1224;5251
1227;6
1229;13
1231;20
1233;7
1234;42
1236;2063
1238;3
1239;3501
1243;77
1244;16
1245;63
1246;30
1247;17
1249;10
1251;6
1252;3
1253;3
1254;7
1255;12
1257;16
1258;6
1260;79
1261;14
1263;485
1264;305
1265;176
1266;4
1267;13
1268;31
1269;2
1270;10
1273;6
1274;2
1275;1
1279;509
1280;4724
1281;6
1282;110
1283;132
1284;7
1285;1
1286;21
1288;21
1290;98
1292;5
1293;5
1294;4
1296;335
1298;20
1300;50
1301;2937
1302;13
1303;19
1304;26
1305;14
1306;19
1307;6866
1308;103
1309;20
1310;2
1311;1018
1313;960
1314;197
1317;5
1318;13
1322;34
1323;54
1326;58
1328;138
1329;29
1334;1012
1335;34
1336;88
1337;127
1338;21
1340;30
1345;3
1346;711
1348;226
1349;1367
1350;530
1351;878
1352;209
1353;131
1354;8
1355;6
1356;4
1357;358
1358;548
1359;48
1360;17
1363;68
1364;78
1366;255
1371;2
1372;7
1373;16
1375;22
1376;20
1377;29
1378;10
1379;4
1380;7
1381;3
1382;2
1383;9
1385;523
1386;798
1390;41
1391;40
1392;10
1393;71
1396;450
1397;92
1398;31
1399;42
1401;9
1402;65
1404;157
1405;812
1406;69
1408;152
1421;151
1422;21
1423;132
1426;16
1428;175
1445;2
1449;4
1450;42
1451;23
1452;26
1454;21
1455;54
1456;7
1458;1
1459;3
1461;4
1462;5
1464;49
1465;168
1467;60
1471;54
1472;27
1473;9
1474;3
1476;8
1477;2
1478;22
1479;3
1482;49
1484;3
1485;2616
1488;23
1490;196
1491;2103
1492;345
1493;31
1494;140
1495;17
1496;328
1497;99
1498;31
1499;65
1501;113
1502;861
1503;72
1504;16
1505;143
1506;118
1509;234
1510;32
1511;1705
1512;125
1513;66
1515;31
1516;12
1517;17
1519;202
1520;1352
1521;20
1522;167
1525;10
1526;5
1527;564
1528;342
1529;148
1530;33
1531;284
1532;9
1533;14
1534;193
1535;12
1537;16
1538;13
1540;31
1541;82
1542;21
1544;2
1547;157
1548;11
1551;9
1553;3
1556;61
1557;54
1559;64
1561;39
1562;3
1563;2
1564;64
1565;2
1569;17
1570;1
1571;2
1575;47
1578;42
1579;6
1580;22
1581;9
1582;5
1583;38
1584;219
1585;5
1587;24
1588;2
1589;3
1590;120
1591;26
1596;6
1597;120
1598;167
1599;36
1600;1
1601;48
1602;1
1604;1
1605;3
1606;5
1607;6
1610;297
1612;1
1613;161
1615;1
1616;2
1618;34
1620;2
1622;14
1623;18
1624;163
1625;6
1629;587
1630;34
1631;2
1632;8
1633;1
1637;158
1638;5
1639;326
1640;15
1641;3
1642;19
1643;3
1647;9
1648;3
1649;1
1652;9
1654;13
1657;4
1661;1
1663;6
1664;7
1670;3
1673;1
1678;49
1680;24
1681;15
1684;3
1685;2
1689;2
1692;1
1693;2
1694;20
1696;24
1703;5
1707;4
1710;23
1711;1
1714;1
1716;76
1717;51
1718;5
1724;2
1725;9
1727;1
1730;174
1731;69
1732;29
1735;11
1736;439
1737;1
1744;20
1747;2
1748;2
1749;2
1753;1
1754;6
1760;212
1762;17
1763;11
1764;12
1766;3
1767;6
1768;3
1771;11
1773;21
1774;18
1778;21
1781;1
1785;5
1790;3
1793;5
1797;1
1813;5
1817;14
1822;2
1823;5
1827;48
1828;25
1829;17
1830;20
1831;1
1833;17
1835;4
1839;4
1847;5
1848;1
1850;1
1854;3
1859;4
1860;1
1861;1
1865;2
1869;1
1873;1
1883;63
1886;5
1892;2
1893;1
1898;7
1903;5
1905;2
1910;6
1912;6
1914;4
1919;1
1921;1
1927;1
1930;4
1933;1
1938;1
1963;1
1988;4
1990;2
1991;1
1992;2
1993;1
2002;2
2004;3
2005;2
2006;2
2013;4
2017;3
2021;1
2023;11
2024;7
2033;8
2034;9
2035;2
2040;1
2045;11
2047;1
2049;14
2051;10
2052;4
2053;9
2054;2
2055;1
2057;8
2062;7
2063;1
2070;4
2071;1
2072;3
2077;8
2088;6
2092;7
2093;6
2095;17
2098;2
2102;3
2110;4
2112;5
2113;1
2114;1
2120;2
2127;1
2132;8
2146;18
2148;2
2149;4
2150;3
2151;3
2157;90
2158;8
2159;2
2160;30
2162;20
2164;2
2172;37
2173;8
2175;8
2177;11
2183;1
2188;2
2191;36
2192;3
2194;3
2197;7
2202;8
2203;13
2205;3
2206;18
2207;68
2208;21
2209;137
2210;8
2214;11
2215;1
2220;24
2222;108
2223;405
2225;3
2251;2
2258;2
2259;1
2263;1
2265;2
2271;1
2287;1
2289;58
2290;9
2291;8
2292;21
2293;156
2296;11
2298;13
2322;22
2323;1
2330;23
2331;5
2333;1
2335;9
2340;2
2350;10
2352;3
2355;6
2358;4
2360;5
2369;2
2371;16
2374;44
2375;60
2377;19
2378;95
2382;5
2419;2
2420;1
2421;16
2422;1
2426;4
2698;37
2701;1
2702;8
2717;76
2736;5
2737;30
2738;433
2739;35
2741;23
2742;38
2743;18
2745;78
2746;5
2747;31
2748;61
2749;1
2750;21
2751;545
2754;114
2756;33
2757;13
2759;2
2879;3
2880;1
2949;3
2951;19
2952;4
3039;6
3052;2
3066;3
4751;5
4762;3
4769;1
4783;2
4784;1
4790;1
4792;4
4795;2
4797;3
4854;1
4874;5
4892;1
4951;1
4953;1
5052;3
5116;1
5217;1
5234;1
5353;1
5579;1
5693;3
5758;156
5759;64
5762;6
5855;3
5884;1
5911;1
5974;1
6020;1
10239;101574
10288;27
10486;2
10487;1
10501;3
10524;1
10566;3
10632;7
10663;9
10664;1
10665;1
10683;8
10699;20
10704;75
10747;1
10752;3
10760;2
10780;64
10794;1
10799;2
10803;418
10804;9
10814;3
10841;9134
10842;3
10843;3
10847;4
