TaxID;output/DNA_220707_20-22hmix_cer_BIOMminiprep_S27_kaiju.out
0;10343130
1;192077
2;13999
7;15
9;30
10;5
11;1
13;2
14;58
16;3
19;6
20;2
22;270
24;2
25;4
29;1
31;11
32;3
39;4
40;1
48;4
50;3
51;2
52;1
53;1
56;11
59;104
61;28
63;2
64;3
68;5
69;3
72;25
75;1
82;9
99;2
100;15
102;10
103;21
104;11
105;4
106;16
107;14
114;6
119;5
120;1
122;1
124;2
126;2
128;3
134;1
136;6
137;1
138;2
144;8
150;2
154;2
156;35
157;47
158;62
159;1
162;33
163;23
164;60
165;6
166;53
167;18
171;55
172;6
173;12
178;2
179;1
180;8
183;1
189;5
190;7
191;62
192;30
194;130
195;41
196;183
197;229
198;15
199;104
200;73
201;33
202;22
204;9
205;2
209;61
210;51
212;1
213;1
214;4
215;21
216;2
217;1
222;69
226;7
227;1
232;5
234;28
235;2
237;970
238;109
239;186
244;19
245;11
247;26
250;32
252;2
253;179
254;83
256;113
258;15
259;1
262;14
263;2
265;64
266;103
270;8
271;1
274;42
277;12
279;2
283;220
285;45
286;1132
287;778
292;22
293;13
294;95
296;15
297;6
300;74
301;73
303;364
305;47
306;13
316;348
317;26
321;3
323;1
329;27
337;10
338;28
339;11
343;6
346;11
347;4
349;5
350;3
352;11
353;15
354;27
356;136
357;10
358;118
359;30
373;22
374;63
375;20
376;2
379;52
380;34
381;12
382;118
384;55
391;17
399;15
403;6
405;2
406;1
407;18
408;9
409;28
410;1
413;2
414;6
415;2
416;10
421;1
425;5
429;11
433;19
434;41
435;2
438;8
441;13
442;13
444;2
445;12
446;26
449;3
451;4
452;3
454;2
458;2
459;3
466;30
468;481
469;31244
470;3306
471;101
472;450
475;441
476;101
477;54
478;690
479;14
480;467
481;122
482;271
483;13
485;15
486;34
487;55
489;2
492;3
493;2
494;20
495;3
496;1
497;182
498;8
502;6
504;9
505;3
506;54
507;22
511;117
517;10
518;24
519;32
521;24
522;2
523;1
529;146
531;2
533;1
535;150
536;43
537;3
538;23
539;32
542;3
543;1303
544;90
545;48
546;169
547;90
548;27
549;19
550;58
551;1
552;18
553;15
554;33
555;5
556;2
561;55
562;2081
564;52
565;8
566;4
568;3
569;28
570;252
571;24
573;575
575;7
577;7
579;6
580;10
581;5
582;41
583;43
584;23
585;15
586;92
587;38
588;15
590;25
595;1
596;1
613;59
614;24
615;90
620;2
623;4
624;14
626;24
628;3
629;280
630;39
631;39
632;21
633;28
634;2
635;5
636;107
637;7
638;12
641;36
642;2823
644;331
645;152
646;145
647;6
648;629
649;9
650;61
651;120
652;6
654;805
656;46
657;16
659;13
662;182
663;105
666;64
668;6
669;22
670;101
672;14
674;5
675;1
676;5
680;8
685;7
687;5
688;1
689;2
691;7
702;3
703;33
712;156
713;9
714;20
715;16
716;1
717;1
720;3
722;3
723;1
724;10
726;8
727;18
728;53
729;16
730;7
731;27
732;4
733;3
734;1
735;2
738;46
745;18
747;82
749;5
750;47
756;2
757;50
758;19
761;50
766;1
768;1
773;21
777;1
809;20
810;4
813;1301
815;1818
816;4054
817;734
818;497
820;288
821;523
823;1691
826;1475
827;2
830;139
831;98
832;50
833;10
836;58
837;311
838;2749
839;248
840;14
841;229
844;32
847;29
848;165
849;36
850;155
851;38
852;108
853;435
854;2
856;37
858;2
859;219
860;2
861;190
863;13
864;53
865;1758
866;5
867;3
868;6
870;83
872;309
873;13
876;1041
878;6
879;5
881;15
889;2
890;4
891;13
892;8
893;11
894;237
895;21
897;2
898;54
899;7
901;78
904;50
905;5
906;118
907;202
912;6
914;14
915;6
916;11
917;60
919;1
920;4
921;4
923;1
924;20
930;26
931;1
933;1
935;5
940;1
943;2
953;3
958;7
959;127
960;27
963;12
964;7
965;52
966;515
970;74
971;296
972;8
976;1220
979;2
982;22
983;27
985;8
986;8
987;2
988;4
989;72
990;122
991;2
995;8
996;254
997;1
998;19
999;4
1002;3
1003;4
1004;39
1008;1
1010;4
1013;2
1014;42
1015;238
1016;80
1018;10
1019;4
1021;4
1022;3
1026;1
1027;17
1030;15
1031;10
1032;4
1034;4
1035;1
1041;14
1042;4
1046;16
1048;2
1049;1
1050;2
1051;2
1052;8
1054;5
1060;3
1061;6
1063;72
1064;2
1066;4
1067;2
1068;2
1069;1
1071;3
1073;5
1074;4
1075;1
1076;11
1079;6
1082;4
1083;9
1084;2
1085;1
1086;1
1088;5
1092;1
1094;7
1095;14
1096;1
1097;1
1098;1
1101;5
1117;106
1118;2
1125;18
1126;14
1150;67
1151;21
1152;2
1158;1
1160;17
1161;112
1162;10
1166;4
1175;1
1176;15
1177;10
1178;2
1186;5
1190;1
1218;35
1219;14
1220;1
1223;1
1224;5239
1227;3
1229;7
1231;8
1233;6
1234;17
1236;2593
1238;1
1239;3697
1243;96
1244;20
1245;55
1246;71
1247;9
1249;19
1251;2
1252;7
1253;5
1254;7
1255;20
1257;15
1258;5
1260;100
1261;33
1263;672
1264;384
1265;253
1267;9
1268;25
1270;17
1272;1
1273;3
1274;1
1279;498
1280;5127
1281;2
1282;52
1283;128
1284;2
1285;1
1286;21
1288;19
1290;85
1292;11
1293;6
1294;3
1296;191
1298;18
1300;140
1301;9187
1302;24
1303;51
1304;35
1305;43
1306;24
1307;24861
1308;277
1309;42
1310;4
1311;2533
1313;476
1314;538
1317;1
1318;19
1322;32
1323;43
1326;279
1328;262
1329;61
1334;3045
1335;94
1336;266
1337;500
1338;45
1340;120
1345;3
1346;1714
1348;613
1349;4321
1350;825
1351;770
