TaxID;output/DNA_220719_20-22mix_cer_BIOMcombi_S31_kaiju.out
0;2737196
1;30118
2;3096
7;12
9;5
10;24
14;4
20;2
22;49
31;1
32;2
34;1
48;4
59;23
61;4
64;1
69;3
72;2
75;1
82;2
85;2
100;5
102;1
103;6
104;6
105;2
106;6
107;10
119;1
126;1
128;1
136;2
137;1
138;1
144;3
150;1
156;2
157;5
158;7
159;1
162;5
163;8
164;6
165;2
166;10
167;4
171;23
172;3
178;4
183;1
190;2
191;12
192;3
194;56
195;18
196;42
197;39
198;1
199;41
200;8
201;18
202;4
204;4
209;44
210;21
213;1
215;4
222;23
226;1
234;26
235;1
237;264
238;26
239;73
244;3
245;7
247;1
250;12
253;27
254;22
256;16
258;4
262;6
265;75
266;10
274;8
276;1
277;1
283;68
285;10
286;196
287;127
292;6
293;1
294;26
296;2
297;3
298;2
300;22
301;17
303;78
305;8
306;4
316;80
317;5
321;2
329;3
337;2
338;2
346;2
347;1
349;2
350;10
352;1
353;8
354;4
356;42
357;3
358;23
359;11
373;7
374;5
375;5
379;18
380;4
381;2
382;24
384;17
391;5
396;1
399;2
403;1
407;3
408;2
409;2
414;2
416;3
418;1
425;1
429;1
433;4
434;7
441;1
442;5
444;3
445;5
446;10
449;1
451;2
454;1
459;1
466;6
468;99
469;4469
470;661
471;11
472;144
475;63
476;13
477;6
478;282
479;2
480;114
481;46
482;89
483;3
484;2
485;6
486;11
487;24
490;3
492;3
494;3
495;1
497;48
498;2
502;2
504;1
506;11
507;4
511;19
517;4
518;2
519;4
521;5
523;1
529;31
535;18
536;5
537;1
538;6
539;6
543;211
544;14
545;4
546;38
547;22
548;5
549;3
550;10
554;3
555;2
561;15
562;447
564;6
565;2
566;1
569;4
570;36
571;3
573;122
577;5
579;1
580;2
582;12
583;6
584;3
585;1
586;16
587;6
590;5
613;13
614;3
615;10
626;5
629;49
630;2
631;6
632;1
633;3
635;2
636;8
637;2
638;2
641;9
642;533
644;69
645;22
646;44
647;2
648;96
649;1
650;9
651;30
652;1
654;156
656;9
657;3
659;2
662;36
663;3
666;20
668;1
669;1
670;22
672;4
676;1
685;3
689;1
691;2
703;7
712;34
713;2
714;4
715;9
718;1
724;4
726;1
727;3
728;28
729;10
730;1
731;23
732;1
733;2
734;2
738;10
739;1
745;3
747;8
749;2
750;15
754;1
757;3
758;17
761;1
773;6
782;1
785;1
809;11
810;2
813;210
815;534
816;643
817;131
818;80
820;67
821;105
823;171
824;1
826;1857
827;2
830;27
831;24
832;12
833;4
836;7
837;43
838;702
839;27
841;26
844;2
847;4
848;83
849;5
850;34
851;21
852;44
853;204
854;5
856;20
858;4
859;33
860;1
861;114
863;3
864;7
865;202
866;1
870;20
872;30
873;2
876;83
878;1
879;1
890;1
891;2
892;1
893;1
894;20
895;2
897;1
898;2
899;1
901;3
904;8
906;18
907;28
916;2
917;6
920;1
924;2
930;11
933;1
953;1
958;6
959;51
960;87
963;3
964;1
965;2
966;82
970;11
971;60
972;1
976;409
978;1
983;3
985;9
988;1
989;5
990;30
991;2
995;4
996;37
998;1
999;1
1003;3
1006;1
1008;4
1010;6
1013;1
1014;8
1015;32
1016;23
1018;5
1019;2
1026;2
1027;1
1030;11
1032;1
1035;1
1041;3
1046;4
1052;3
1054;5
1056;1
1060;5
1061;6
1063;13
1064;6
1067;2
1069;2
1073;4
1074;3
1076;5
1083;1
1086;1
1091;1
1094;3
1117;30
1122;3
1124;1
1125;8
1150;23
1151;6
1160;5
1161;28
1162;3
1166;4
1176;3
1177;3
1179;2
1219;8
1224;788
1229;2
1231;2
1234;9
1236;535
1239;828
1243;17
1244;7
1245;13
1246;12
1247;5
1249;1
1251;2
1253;1
1254;1
1255;3
1257;5
1258;4
1260;19
1261;4
1263;163
1264;99
1265;28
1267;2
1268;2
1269;1
1270;1
1273;3
1279;101
1280;1229
1282;29
1283;36
1284;1
1286;1
1288;4
1290;15
1292;2
1296;33
1298;6
1300;13
1301;624
1302;5
1303;3
1304;10
1305;1
1306;4
1307;1236
1308;22
1309;5
1310;1
1311;162
1313;97
1314;35
1317;1
1318;2
1322;11
1323;6
1326;21
1328;18
1329;7
1334;155
1335;5
1336;23
1337;40
1338;5
1340;7
1345;1
1346;134
1348;16
1349;187
1350;79
1351;307
1352;69
1353;10
1354;5
1355;1
1356;1
1357;98
1358;120
1359;11
1363;12
1364;13
1366;36
1372;2
1375;5
1376;3
1377;2
1378;1
1380;1
1382;2
1383;1
1385;103
1386;207
1390;9
1391;11
1392;3
1393;17
1396;112
1397;40
1398;2
1399;6
1401;7
1402;12
1404;28
1405;226
1406;20
1408;39
1421;23
1422;5
1423;40
1426;1
1428;33
1449;1
1450;3
1451;7
1452;19
1454;3
1455;11
1456;1
1459;1
1462;1
1464;10
1465;44
1467;12
1471;17
1472;3
1473;6
1478;13
1482;15
1485;765
1488;2
1490;52
1491;720
1492;80
1493;6
1494;66
1495;1
1496;101
1497;20
1498;5
1499;14
1501;45
1502;260
1503;15
1504;3
1505;67
1506;18
1509;105
1510;1
1511;241
1512;21
1513;24
1515;9
1516;2
1517;4
1519;26
1520;290
1521;3
1522;37
1525;4
1526;3
1527;167
1528;43
1529;14
1530;5
1531;86
1533;2
1534;40
1537;11
1538;1
1540;14
1541;38
1542;4
1544;1
1547;39
1551;3
1553;1
1556;26
1557;8
1559;16
1561;5
1563;1
1564;7
1569;11
1570;1
1575;6
1578;9
1580;6
1581;6
1582;2
1583;10
1584;66
1585;1
1587;5
1588;1
1590;29
1591;9
1596;1
1597;16
1598;29
1599;3
1600;1
1601;1
1604;7
1605;2
1606;2
1610;42
1613;23
1616;1
1618;6
1622;4
1623;8
1624;25
1625;1
1626;1
1629;124
1630;9
1631;3
1632;1
1637;31
1639;84
1640;8
1642;3
1643;2
1647;1
1649;1
1650;2
1652;3
1654;4
1657;1
1661;3
1664;1
1678;3
1680;6
1681;2
1693;1
1694;2
1696;3
1703;1
1708;1
1710;3
1716;16
1717;9
1718;1
1725;2
1730;23
1731;21
1732;4
1735;18
1736;103
1737;1
1744;5
1760;33
1762;3
1764;3
1767;2
1768;2
1771;3
1773;17
1774;3
1778;9
1785;1
1817;1
1823;1
1827;10
1828;6
1829;4
1830;2
1833;2
1839;1
1847;4
1848;2
1849;1
1863;1
1865;1
1873;1
1883;18
1886;1
1888;1
1898;2
1910;3
1927;1
1930;1
1940;1
1992;1
2005;1
2017;1
2023;2
2033;2
2034;2
2045;5
2049;6
2053;1
2054;1
2055;1
2077;4
2078;2
2088;1
2093;2
2094;1
2095;9
2100;1
2102;4
2107;1
2123;1
2132;1
2145;1
2146;3
2148;1
2149;1
2151;1
2157;18
2158;3
2160;5
2172;9
2173;14
2177;5
2191;9
2194;1
2202;1
2203;1
2205;1
2206;1
2207;16
2208;3
2209;27
