Sample	Total Reads	NoDup Reads	
output/WW_210304_KW1_S49	17143417	14805940 (0.8636516279105851%)	
output/WW_210304_KW2_S50	11569987	9252195 (0.7996720307464477%)	
output/WW_210304_KW3_S51	16128947	13420676 (0.8320863104082368%)	
output/WW_210304_KW6_S52	20315229	17733690 (0.872925921730934%)	
output/WW_210325_KW2_22-24_S53	11796836	8257745 (0.6999965923066152%)	
output/WW_210325_KW2_morning_S54	22830262	20239500 (0.8865207065954828%)	
output/WW_210408_20-22h_S55	14613468	12496718 (0.8551507417677994%)	
output/WW_210408_22-24h_S56	17530309	15487567 (0.8834737026027322%)	
output/WW_210415_20-22h_S57	10733272	8855050 (0.8250093727243659%)	
output/WW_210415_22-24h_S58	14166362	12662210 (0.8938222812603547%)	
output/WW_210422_20-22h_S59	14281884	12731248 (0.8914263692381201%)	
output/WW_210422_22-24h_S60	15569031	13771439 (0.8845405343466783%)	
output/WW_210427_12-14h_S61	12016245	10638475 (0.885341052882993%)	
output/WW_210427_16-18h_S62	13740331	12135190 (0.8831803251319055%)	
output/WW_210427_20-22h_S63	15958495	13807978 (0.8652431197302753%)	
output/WW_210427_22-24h_S64	14246356	12730930 (0.8936271141897619%)	
output/WW_210507_20-22h_S65	11172939	9362058 (0.837922591361145%)	
output/WW_210507_22-24h_S66	12771411	10935259 (0.8562295113672248%)	
output/WW_210519_20-22h_S67	18945392	16615441 (0.8770175354513646%)	
output/WW_210519_22-24h_S68	22060191	19506436 (0.8842369497163465%)	
output/WW_210527_20-22h_S69	17686542	15279446 (0.8639023953919314%)	
output/WW_210527_22-24h_S70	13504909	11985407 (0.8874852100077091%)	
output/WW_210604_20-22h_S71	15791769	13800696 (0.8739170386800871%)	
output/WW_210604_22-24h_S72	12198978	10411279 (0.8534550189368323%)	
output/WW_210610_20-22h_S73	12379441	10822460 (0.8742284889923544%)	
output/WW_210610_22-24h_S74	17837260	15830707 (0.8875077786610723%)	
output/WW_210622_20-22h_S81	5750276	3762194 (0.6542632040618572%)	
output/WW_210622_22-24h_S82	7793532	5581410 (0.7161592458977522%)	
output/WW_210722_20-22h_S83	13386664	9450621 (0.705972824894985%)	
output/WW_210722_22-24h_S84	8926437	5814426 (0.6513714262476731%)	
